Sample,0,1,2,3,4,5
Hf_W,5.604468356,2.25794264,2.259371449,7.359437904,2.783008394,2.965279725
Hf_Re,6.884861972,2.557693972,2.486816211,9.0489147,3.366775472,3.47272917
Hf_Os,5.927724751,2.379381448,2.50784507,7.579342686,3.16066581,3.159533068
Hf_Ir,7.0753437,2.58402398,2.771460118,7.353843889,3.385559647,3.279052282
Hf_Pt,9.180907888,2.841971575,2.99848383,7.658728322,3.651709355,3.542194777
Hf_Au,14.40320509,3.293055219,3.504556559,12.66404206,4.557401457,4.539500451
Ta_W,2.822239447,1.202977318,1.694951684,4.228019851,1.511898598,1.706261841
Ta_Re,5.364042217,2.222772294,2.50271739,8.698297739,3.158602588,3.206116824
Ta_Os,1.809258286,1.375150099,1.348981643,4.497763462,2.072340373,1.966005962
Ta_Pt,6.341636103,2.257668255,2.33232584,5.83950685,2.987019454,2.930496284
Ta_Au,13.07259665,2.973325968,3.115597268,11.968227,4.266314083,4.36148442
W_Re,-0.832407192,1.120092799,0.630094696,0.897168964,1.227070506,0.562373246
W_Os,-2.171994461,1.354372518,1.354784832,0.123134655,1.587207761,0.306203591
W_Ir,0.026902455,0.303989206,0.57775096,1.595754209,0.608172609,1.141838882
W_Pt,2.653923898,1.341842324,1.454557637,2.66829151,1.701072051,1.675782261
W_Au,10.95550351,2.608327045,2.764447182,10.46029559,3.82644455,4.002544776
Re_Os,-1.523223954,0.948887449,0.836078234,1.706112525,1.16127458,0.954551403
Re_Au,11.85264338,2.7563225,2.988105953,12.0147216,3.94661501,4.207105971
Os_Ir,0.723404417,0.989423193,1.076839371,2.469751335,0.612839953,1.245558599
Os_Pt,3.550983194,1.707460273,1.860119171,3.883704073,1.859603047,2.22459249
Os_Au,14.07142134,3.282607922,3.351767398,14.79280884,4.567690086,4.81367052
Ir_Au,15.80435651,3.579388344,3.681997272,16.2120749,4.853292903,5.095005815
Pt_Au,14.90558051,3.384870985,3.522060786,14.23353722,4.557198899,4.815975597
Ni_ScE,17.78331353,3.820053609,3.987672262,15.40491251,5.336005779,5.434008439
Ni_TiE,5.040214513,1.920934445,1.720033449,4.054760038,2.791000918,2.818751116
Ni_VE,3.784181651,1.563033479,1.184077709,2.512065228,2.226922764,2.38880339
Ni_CrE,4.566437136,1.654821179,1.403942974,3.052487242,2.278484294,2.657569938
Ni_MnE,6.840327963,1.998345614,2.291666426,4.909576391,2.785086019,3.244708282
Ni_FeE,7.411178594,1.485600913,1.89063803,3.674251264,2.470149407,3.133400488
Ni_CoE,8.386335231,1.672029305,2.106380892,4.386071273,2.62976235,3.314847825
Ni_CuE,12.00806213,2.754019599,3.173993119,10.70352871,4.084689073,4.21882311
Ni_YE,21.36311686,4.071707266,4.227339921,17.62719709,5.623574192,5.747493839
Ni_ZrE,8.322535713,2.681469357,2.465675158,7.861711525,3.707786848,3.590638932
Ni_NbE,4.682270954,2.047769553,1.803516195,4.97857874,2.827055585,2.703719029
Ni_MoE,3.409570195,1.526155409,1.584542987,3.434533301,2.22544715,2.188036498
Ni_RuE,7.021730422,2.071035651,2.376505411,5.569909728,2.881230614,3.132332483
Ni_RhE,11.49336412,2.846075831,3.154584307,10.65656796,4.074312143,4.306154599
Ni_PdE,10.07701835,2.60660826,2.732789142,8.231340899,3.555608266,3.893464873
Ni_AgE,17.71613915,3.366072902,3.734705193,14.93509644,4.884061051,5.148119601
V_MnE,-0.899728805,0.68193154,0.449365136,0.719264418,1.256405493,0.729694855
Mn_WE,-1.504389947,1.014279125,0.823504464,0.34023563,1.575260441,0.997408778
V_CoE,2.409554765,0.741420593,0.839003927,1.654245098,1.578920432,1.926588393
Fe_CoE,4.953648589,0.744418619,1.441081394,1.782926503,1.845359574,2.597622923
